bin	seqname	contigLen	totalAvgDepth	contig_%GC
bin.498	Contig9361396	14701.0	11.9	32
bin.498	Contig17558040	26605.0	11.4	31
bin.498	Contig32991453	14896.0	11.4	30
bin.498	Contig36446005	5639.0	36.8	29
bin.498	Contig49294420	5476.0	13.9	32
bin.498	Contig50324273	5698.0	12.3	31
bin.498	Contig65377918	7950.0	11.0	33
bin.498	Contig73029510	10198.0	12.2	30
bin.498	Contig73029511	7294.0	17.3	31
bin.498	Contig79555948	10523.0	9.5	31
bin.498	Contig82699361	5443.0	10.1	30
bin.498	Contig82783468	18393.0	10.1	31
bin.498	Contig83606464	5534.0	12.9	28
bin.498	Contig94612258	16738.0	9.5	31
bin.498	Contig94612260	5483.0	9.9	32
bin.498	Contig102764996	26301.0	12.5	30
bin.498	Contig105064346	19049.0	10.1	31
bin.498	Contig115073341	13532.0	12.3	32
bin.498	Contig116570791	8606.0	10.7	30
bin.498	Contig121211563	19589.0	12.6	32
bin.498	Contig127814020	5880.0	11.3	31
bin.498	Contig128496437	12067.0	11.1	29
bin.498	Contig128496438	6699.0	9.7	30
bin.498	Contig128754080	25184.0	10.0	29
bin.498	Contig129136107	6364.0	12.7	31
bin.498	Contig132298787	12294.0	10.4	31
bin.498	Contig137136497	17012.0	10.2	30
bin.498	Contig138371925	5011.0	10.8	31
bin.498	Contig138381649	21586.0	10.8	30
bin.498	Contig142017962	23391.0	10.4	29
bin.498	Contig144652516	7976.0	9.4	30
bin.498	Contig145795991	13439.0	11.7	33
bin.498	Contig150158318	18127.0	10.6	30
bin.498	Contig154889528	9147.0	10.0	32
bin.077	Contig228930	14605.0	12.1	65
bin.077	Contig859172	6936.0	12.8	68
bin.077	Contig6910236	6479.0	10.3	66
bin.077	Contig8614038	7445.0	12.9	67
bin.077	Contig9479376	6499.0	9.1	64
bin.077	Contig10390186	5354.0	10.3	66
bin.077	Contig11484963	5445.0	12.5	67
bin.077	Contig13532320	5933.0	11.5	65
bin.077	Contig15957547	7903.0	12.9	66
bin.077	Contig21448919	7079.0	10.1	62
bin.077	Contig21638906	6756.0	11.9	66
bin.077	Contig21638908	6454.0	13.0	66
bin.077	Contig22139350	6385.0	13.4	67
bin.077	Contig23357930	5649.0	12.3	64
bin.077	Contig24485922	11332.0	12.2	66
bin.077	Contig24878268	6300.0	13.8	64
bin.077	Contig26576554	7781.0	11.6	65
bin.077	Contig28935126	6349.0	15.0	66
bin.077	Contig31024174	14166.0	13.0	66
bin.077	Contig31024176	6970.0	14.2	66
bin.077	Contig31024177	6477.0	12.5	62
bin.077	Contig32006612	5535.0	10.5	64
bin.077	Contig33265997	5942.0	13.2	65
bin.077	Contig33534688	9432.0	10.5	65
bin.077	Contig35251701	5660.0	11.4	66
bin.077	Contig35306648	10181.0	11.7	66
bin.077	Contig38184865	5852.0	13.7	67
bin.077	Contig39586808	10294.0	12.3	66
bin.077	Contig40944351	5416.0	12.6	68
bin.077	Contig41486339	5857.0	11.5	67
bin.077	Contig42135201	5643.0	9.8	64
bin.077	Contig45966406	7799.0	15.2	62
bin.077	Contig46199561	8236.0	11.6	63
bin.077	Contig46965319	19509.0	9.6	66
bin.077	Contig47203931	7084.0	13.8	65
bin.077	Contig48732997	6594.0	9.7	65
bin.077	Contig48732998	5915.0	11.5	67
bin.077	Contig49105174	8185.0	10.7	68
bin.077	Contig50363261	6444.0	11.1	67
bin.077	Contig51154248	7544.0	12.8	63
bin.077	Contig53068733	6251.0	16.5	64
bin.077	Contig57582468	9076.0	12.8	67
bin.077	Contig57582469	5944.0	12.1	66
bin.077	Contig57582470	8495.0	10.8	64
bin.077	Contig57582471	5561.0	11.1	66
bin.077	Contig57991463	6289.0	16.2	65
bin.077	Contig60220371	11545.0	12.5	66
bin.077	Contig64509242	6153.0	13.3	67
bin.077	Contig65620585	6766.0	13.2	69
bin.077	Contig66603303	7452.0	13.1	67
bin.077	Contig67271225	9035.0	11.9	65
bin.077	Contig67910390	5262.0	12.2	63
bin.077	Contig68869442	12153.0	11.9	63
bin.077	Contig68941321	9598.0	13.5	66
bin.077	Contig69213360	12139.0	11.7	67
bin.077	Contig69878774	6794.0	12.8	61
bin.077	Contig70189844	5563.0	12.4	67
bin.077	Contig70564366	10977.0	10.5	62
bin.077	Contig71280897	5492.0	12.0	68
bin.077	Contig72156645	9976.0	12.2	62
bin.077	Contig73455745	6296.0	13.6	67
bin.077	Contig75967977	6124.0	11.8	65
bin.077	Contig76739661	5570.0	12.6	68
bin.077	Contig76739662	9166.0	12.9	69
bin.077	Contig77589437	9141.0	13.6	64
bin.077	Contig77589439	7494.0	12.5	67
bin.077	Contig77589440	7080.0	12.3	68
bin.077	Contig78785571	8042.0	14.7	65
bin.077	Contig80140053	11144.0	11.4	66
bin.077	Contig80140056	7285.0	12.9	65
bin.077	Contig81370454	8000.0	13.5	69
bin.077	Contig81905736	6155.0	10.3	66
bin.077	Contig82714565	15204.0	13.7	64
bin.077	Contig83352627	7042.0	13.0	63
bin.077	Contig83352628	5690.0	12.8	66
bin.077	Contig83438004	7444.0	12.6	65
bin.077	Contig83765673	5632.0	13.6	64
bin.077	Contig83765674	11338.0	10.4	64
bin.077	Contig86961535	8481.0	10.7	69
bin.077	Contig88976399	6066.0	12.4	66
bin.077	Contig89369787	17816.0	11.9	66
bin.077	Contig91011903	6568.0	12.0	66
bin.077	Contig91602759	6202.0	10.0	68
bin.077	Contig92239315	10727.0	11.7	67
bin.077	Contig92668137	9945.0	13.4	67
bin.077	Contig92668140	7541.0	12.8	69
bin.077	Contig92668141	9533.0	11.5	65
bin.077	Contig93108743	7652.0	10.5	65
bin.077	Contig93143482	6576.0	11.8	66
bin.077	Contig93143483	7878.0	10.8	67
bin.077	Contig93143484	6745.0	13.2	66
bin.077	Contig94530116	10188.0	12.2	66
bin.077	Contig94999634	5749.0	14.2	66
bin.077	Contig96215570	10434.0	11.9	65
bin.077	Contig96978317	7466.0	14.6	67
bin.077	Contig98320013	7144.0	11.1	66
bin.077	Contig98320014	5685.0	12.1	68
bin.077	Contig103257963	6716.0	12.6	67
bin.077	Contig103269609	23990.0	11.1	64
bin.077	Contig103822500	6383.0	10.4	69
bin.077	Contig103822503	5043.0	14.3	63
bin.077	Contig104769743	8381.0	12.9	66
bin.077	Contig104769746	8557.0	13.5	67
bin.077	Contig106772311	6850.0	12.4	64
bin.077	Contig107273924	6107.0	12.4	68
bin.077	Contig107722302	6910.0	11.0	64
bin.077	Contig108914418	5736.0	13.7	65
bin.077	Contig109321670	5126.0	7.3	63
bin.077	Contig109611221	6797.0	10.9	66
bin.077	Contig109611222	10398.0	12.1	66
bin.077	Contig109611223	6656.0	12.7	67
