contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Contig139899753||full	0.953	dsDNAphage	494746	8	17.4	3.3	494746	No	NA	801	59	41	High-quality	High-quality	98.79	HMM-based (lower-bound)	0	1	NA
Contig133367609||full	0.98	dsDNAphage	437779	10	24.2	5.1	437779	No	NA	583	43	41	High-quality	High-quality	94.42	HMM-based (lower-bound)	0	1	NA
Contig49617119||full	0.967	dsDNAphage	393332	4	15.2	4	393332	No	NA	656	37	43	High-quality	High-quality	94.81	HMM-based (lower-bound)	0	1	NA
Contig26800275||full	0.967	dsDNAphage	379467	12	19	4	379467	No	NA	626	39	24	High-quality	High-quality	97.84	HMM-based (lower-bound)	0	1	NA
Contig99511885||full	1	dsDNAphage	346595	23	31.4	2.7	346595	No	NA	582	94	14	High-quality	High-quality	92.49	HMM-based (lower-bound)	0	1	NA
Contig39015512||full	0.993	dsDNAphage	308189	40	43.5	0.9	308189	No	NA	336	106	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig142949947||full	0.967	dsDNAphage	294187	12	20.7	2.6	294187	No	NA	503	50	10	High-quality	High-quality	97.12	HMM-based (lower-bound)	0	1	NA
Contig123250987||full	1	dsDNAphage	260902	11	30.1	1.1	260902	No	NA	359	34	14	Complete	High-quality	100	DTR (medium-confidence)	0	1	NA
Contig100641146||full	0.993	dsDNAphage	236318	17	50.3	2.4	236318	Yes	233624	338	66	19	Medium-quality	Genome-fragment	59.17	AAI-based (medium-confidence)	1.14	1	NA
Contig59135421||full	0.993	dsDNAphage	224591	9	23	1.6	224591	No	NA	397	32	13	High-quality	High-quality	93.62	HMM-based (lower-bound)	0	1	NA
Contig73111104||full	1	dsDNAphage	216263	14	22.8	2.3	216263	No	NA	311	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig84139376||full	0.993	dsDNAphage	212697	12	36.4	1.1	212697	No	NA	280	44	4	Medium-quality	Genome-fragment	88.28	AAI-based (medium-confidence)	0	1	NA
Contig90455972||full	1	dsDNAphage	208063	10	24.6	3.6	208063	No	NA	277	19	11	High-quality	High-quality	96.58	AAI-based (medium-confidence)	0	1	NA
Contig15618873||full	1	dsDNAphage	204165	5	33	1.3	204165	No	NA	319	26	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig109876813||full	1	dsDNAphage	193949	8	34.8	0.6	193949	No	NA	310	33	10	Medium-quality	Genome-fragment	84.13	HMM-based (lower-bound)	0	1	NA
Contig151877900||full	0.993	dsDNAphage	190496	25	50.8	2.4	190496	No	NA	248	83	7	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig35108570||full	0.993	dsDNAphage	177188	3	18.1	1.7	177188	No	NA	237	17	4	High-quality	High-quality	94.95	AAI-based (medium-confidence)	0	1	NA
Contig98839058||full	0.987	dsDNAphage	172811	8	30.5	4.3	172811	No	NA	211	23	6	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig136669853||full	0.987	dsDNAphage	172215	10	29.9	1.2	172215	No	NA	244	38	7	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig82077176||full	0.907	dsDNAphage	172086	7	21.7	5.3	172086	No	NA	244	19	21	Medium-quality	Genome-fragment	77.64	HMM-based (lower-bound)	0	1	NA
Contig136620972||full	0.993	dsDNAphage	169624	10	29.5	0.8	169624	No	NA	238	27	5	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig63567846||full	1	dsDNAphage	164979	9	26.7	1.8	164979	No	NA	225	28	3	Medium-quality	Genome-fragment	88.71	HMM-based (lower-bound)	0	1	NA
Contig122963533||full	1	dsDNAphage	164668	15	31.5	0	164668	No	NA	216	30	3	High-quality	High-quality	96.89	HMM-based (lower-bound)	0	1	NA
Contig28819750||full	0.993	dsDNAphage	162497	2	20.2	2.8	162497	No	NA	248	17	9	Medium-quality	Genome-fragment	87.81	HMM-based (lower-bound)	0	1	NA
Contig21546592||full	1	dsDNAphage	161432	4	24.8	3.1	161432	No	NA	254	20	11	Medium-quality	Genome-fragment	88.64	HMM-based (lower-bound)	0	1	NA
Contig118345716||full	1	dsDNAphage	159916	2	37.4	1.6	159916	No	NA	310	30	14	Medium-quality	Genome-fragment	55.86	HMM-based (lower-bound)	0	1	NA
Contig35416038||full	1	dsDNAphage	158536	27	51.3	1.1	158536	No	NA	266	112	0	Medium-quality	Genome-fragment	84.94	AAI-based (medium-confidence)	0	1	NA
Contig79742107||full	0.987	dsDNAphage	156320	8	20	0.8	156320	No	NA	251	25	0	High-quality	High-quality	97.01	AAI-based (medium-confidence)	0	1	NA
Contig112467793||full	1	dsDNAphage	156241	10	30.1	0.9	156241	No	NA	227	33	3	High-quality	High-quality	96.73	AAI-based (medium-confidence)	0	1	NA
Contig143601366||full	1	dsDNAphage	148775	11	29.9	1.6	148775	No	NA	251	37	5	High-quality	High-quality	96.8	HMM-based (lower-bound)	0	1	NA
Contig150992567||full	0.873	dsDNAphage	146533	11	26.4	33.8	146533	Yes	38542	148	25	80	Complete	High-quality	100	Provirus (high-confidence)	73.7	1	contig >1.5x longer than expected genome length
Contig24278870||full	1	dsDNAphage	144747	15	33.5	3	144747	No	NA	230	41	9	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig59085900||full	1	dsDNAphage	144159	10	24.2	1.6	144159	No	NA	186	15	5	High-quality	High-quality	91.16	HMM-based (lower-bound)	0	1	NA
Contig9973591||full	0.973	dsDNAphage	139966	5	23.9	5	139966	No	NA	201	18	11	High-quality	High-quality	95.78	HMM-based (lower-bound)	0	1	NA
Contig8640915||full	0.993	dsDNAphage	135420	8	34.7	3.5	135420	No	NA	173	27	6	Medium-quality	Genome-fragment	82.47	AAI-based (medium-confidence)	0	1	NA
Contig81974069||full	1	dsDNAphage	134729	2	18.8	0	134729	No	NA	223	9	4	High-quality	High-quality	90.08	HMM-based (lower-bound)	0	1	NA
Contig153932647||full	0.98	dsDNAphage	134490	4	16.6	4	134490	No	NA	224	19	4	Medium-quality	Genome-fragment	89.86	HMM-based (lower-bound)	0	1	NA
Contig154649737||full	1	dsDNAphage	130903	5	30.7	1.7	130903	No	NA	231	30	4	High-quality	High-quality	96.59	AAI-based (medium-confidence)	0	1	NA
Contig50624312||full	0.96	dsDNAphage	130196	2	22.8	4.2	130196	No	NA	189	16	0	High-quality	High-quality	93.65	HMM-based (lower-bound)	0	1	NA
