contig_id	full-partial	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	bin	contigLen	totalAvgDepth	contig_%GC	Completeness	Contamination	classification	bin_length	bin_%GC	contig_count
Contig150992567	full	0.873	dsDNAphage	146533	11	26.4	33.8	146533	Yes	38542	148	25	80	Complete	High-quality	100	Provirus (high-confidence)	73.7	1	contig >1.5x longer than expected genome length	bin.348	146589	243.7	52	96.62	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rahnella;s__Rahnella laticis	5209876	53	52
Contig148059664	full	0.8	dsDNAphage	127452	7	29.5	34.1	127452	Yes	37625	131	23	62	Medium-quality	Genome-fragment	59.98	AAI-based (medium-confidence)	70.48	1	contig >1.5x longer than expected genome length	bin.292	130191	34.6	65	98.39	2.47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__	8487454	65	114
Contig52159389	full	0.587	dsDNAphage	117300	2	14.3	14.3	117300	No	NA	124	1	67	High-quality	High-quality	100	HMM-based (lower-bound)	0	1	NA	bin.064	121342	22.1	51	58.77	0.93	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__2-01-FULL-56-20;g__;s__	944814	51	6
Contig153672807	full	0.587	dsDNAphage	113956	2	22.5	20	113956	No	NA	102	0	66	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.165	119769	17.4	56	99.32	0.68	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	3182806	58	77
Contig83599174	0_partial	0.9	dsDNAphage	113610	10	27.8	28.5	113610	Yes	39913	139	34	51	Complete	High-quality	100	Provirus (high-confidence)	64.87	1	contig >1.5x longer than expected genome length	bin.187	552457	23	54	91.21	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Acerihabitans;s__	5517391	53	35
Contig14903753	full	0.993	dsDNAphage	109071	15	35.4	1.9	109071	No	NA	161	35	4	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.090	109221	25.4	67	58.29	1.1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__Aliidongia;s__	3723695	66	436
Contig153535758	full	0.54	dsDNAphage	106542	0	33.3	11.1	106542	No	NA	92	0	57	Not-determined	Genome-fragment	NA	NA	0	1	no viral genes detected	bin.236	106542	46.5	59	94.88	3.42	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__;s__	3346786	61	128
Contig46548736	full	0.94	dsDNAphage	102415	16	26.3	13.5	102415	Yes	63055	133	28	25	Complete	High-quality	100	Provirus (high-confidence)	38.43	1	NA	bin.021	102578	50.8	62	96.53	0.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae;g__;s__	5805556	64	55
Contig35743087	full	1	dsDNAphage	98600	2	17.4	2.6	98600	No	NA	155	10	3	High-quality	High-quality	90.2	HMM-based (lower-bound)	0	1	NA	bin.202	98697	55	57	94.89	4.7	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__SbA1;g__JABCZH01;s__	5152567	57	265
Contig140794512	full	0.92	dsDNAphage	97002	7	28	18.9	97002	Yes	52553	131	26	34	Medium-quality	Genome-fragment	72.11	HMM-based (lower-bound)	45.82	1	NA	bin.130	98233	74.6	38	94.43	5.34	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__DSM-18226;g__;s__	4193466	40	80
