	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral genes with unknown function	Viral hypothetical genes	Viral structure genes	Viral genes with viral benefits	Viral replication genes
Contig100005350||full	0	False	0	6	0	0	False	0.16666666666666666	1.0	1.0	4.0	0.0	0.0	0.0
Contig10000612||full	0	False	0	7	2	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig100014928||full	0	False	0	35	6	1	False	0.11428571428571428	4.0	3.0	28.0	0.0	0.0	0.0
Contig100026916||full	0	False	0	15	0	0	False	0.0	0.0	1.0	14.0	0.0	0.0	0.0
Contig100038693||full	0	False	0	43	8	0	False	0.0	0.0	2.0	40.0	1.0	0.0	0.0
Contig100038695||full	0	False	0	39	2	0	False	0.02564102564102564	1.0	3.0	35.0	0.0	0.0	0.0
Contig100050128||full	0	False	0	6	0	0	False	0.0	0.0	0.0	5.0	1.0	0.0	0.0
Contig100050129||full	0	False	0	5	0	0	False	0.0	0.0	0.0	3.0	2.0	0.0	0.0
Contig100055928||full	0	False	0	20	3	0	False	0.0	0.0	2.0	17.0	0.0	1.0	0.0
Contig100056627||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig10005834||full	0	False	0	5	2	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig10005847||full	0	False	0	9	3	0	False	0.0	0.0	2.0	7.0	0.0	0.0	0.0
Contig100067561||full	0	False	0	5	3	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig100079281||full	0	False	0	19	1	0	False	0.0	0.0	2.0	17.0	0.0	0.0	0.0
Contig100081453||full	0	False	0	3	1	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig100085103||full	0	False	0	13	0	0	False	0.0	0.0	0.0	13.0	0.0	0.0	0.0
Contig100090922||full	0	False	0	6	0	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig100091027||full	0	False	0	10	2	0	False	0.1	1.0	0.0	9.0	0.0	0.0	0.0
Contig100097904||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig100102591||full	0	False	0	7	1	0	False	0.0	0.0	0.0	6.0	0.0	0.0	1.0
