gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
Contig100014928||full_20	Contig100014928||full	A31	Catlytic type: Aspartate; HycI endopeptidase releases a 32-residue C-terminal peptide by cleavage of an -Arg-Met- bond;HybD cleaves following the equivalent -His-Met- bond in hydrogenase 2, removing 15 residues; HycI and HybD are in the processing of the precursors of bacterial hydrogenases to their active forms	Organic Nitrogen	Peptidase		Endopeptidases	3	M
Contig100137713||full_7	Contig100137713||full							3	MKF
Contig100137713||full_13	Contig100137713||full							3	MK
Contig100272405||full_3	Contig100272405||full							3	MKF
Contig100412797||full_26	Contig100412797||full							1	MK
Contig100549394||full_7	Contig100549394||full	K02075	ABC.ZM.P; zinc/manganese transport system permease protein	Transporters			Putative zinc/manganese transport system	3	MF
Contig100641146||full_83	Contig100641146||full							2	MK
Contig100641146||full_161	Contig100641146||full							1	MK
Contig100641146||full_187	Contig100641146||full							1	MK
Contig100641146||full_192	Contig100641146||full							1	MK
Contig100641146||full_226	Contig100641146||full							1	MK
Contig100641146||full_237	Contig100641146||full							1	MK
Contig100641147||full_33	Contig100641147||full							1	MK
Contig10070234||full_4	Contig10070234||full							3	MKF
Contig100947258||full_2	Contig100947258||full							3	MKF
Contig101045218||full_37	Contig101045218||full	K00558	DNA (cytosine-5-)-methyltransferase [EC:2.1.1.37] [RN:R04858]	Organic Nitrogen	Amino Acid		Methionine degradation	3	M
Contig101215376||full_3	Contig101215376||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Phospholipid transport system	3	MF
Contig101215376||full_3	Contig101215376||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			gamma-Hexachlorocyclohexane transport system	3	MF
Contig101215376||full_3	Contig101215376||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Mce transport system	3	MF
Contig10131128||full_8	Contig10131128||full							2	MK
Contig101385235||full_63	Contig101385235||full							2	MK
Contig10145679||full_8	Contig10145679||full							3	MKF
Contig101508565||full_4	Contig101508565||full							3	MKF
Contig101531989||full_3	Contig101531989||full							3	MKF
Contig10156350||full_6	Contig10156350||full							3	MKF
Contig101590508||full_35	Contig101590508||full							1	MK
Contig101590508||full_50	Contig101590508||full							2	MK
Contig101590508||full_58	Contig101590508||full							2	MK
Contig101590508||full_59	Contig101590508||full							2	MK
Contig101590508||full_62	Contig101590508||full							2	MK
Contig101819591||full_6	Contig101819591||full							3	MK
Contig101819591||full_11	Contig101819591||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Phospholipid transport system	3	MF
Contig101819591||full_11	Contig101819591||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			gamma-Hexachlorocyclohexane transport system	3	MF
Contig101819591||full_11	Contig101819591||full	K02066	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein	Transporters			Mce transport system	3	MF
Contig101849009||full_8	Contig101849009||full							2	MK
Contig101966209||full_3	Contig101966209||full	K01939	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	3	MF
Contig101966209||full_5	Contig101966209||full							3	MKF
Contig102102531||full_4	Contig102102531||full							3	MKF
