Original Viral population,Original Host,Final_score,CRISPR score,Prophage blast score,WIsH score,Number of CRISPR matches,Max number of end mismatches detected in any CRISPR spacer,Prophage blast percent identity,Prophage blast viral contig coverage,tRNA match,Max number of end mismatches detected in host tRNA,Non-promiscuous tRNA match score,WIsH p-value,Viral population,Predicted host
Contig118029672||full,bin.003,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_031092,BAC_Host_149
Contig119581342||full,bin.003,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_031720,BAC_Host_149
Contig152820962||full,bin.003,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_046195,BAC_Host_149
Contig57834882||full,bin.003,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000423244,Virus_012377,BAC_Host_149
Contig74588550||full,bin.003,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_016847,BAC_Host_149
Contig86286176||full,bin.003,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400881,Virus_020439,BAC_Host_149
Contig97858892||full,bin.003,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000444017,Virus_024030,BAC_Host_149
Contig100588712||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00251387,Virus_024906,BAC_Host_117
Contig102511889||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00584968,Virus_025610,BAC_Host_117
Contig102511890||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023496,Virus_025611,BAC_Host_117
Contig103058014||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00931842,Virus_025804,BAC_Host_117
Contig103723078||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0340182,Virus_026042,BAC_Host_117
Contig105111462||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00411115,Virus_026512,BAC_Host_117
Contig105606405||lt2gene,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00143463,Virus_049043,BAC_Host_117
Contig106412955||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0225831,Virus_026994,BAC_Host_117
Contig107924848||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426427,Virus_027521,BAC_Host_117
Contig112105722||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195496,Virus_028933,BAC_Host_117
Contig11226463||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_002131,BAC_Host_117
Contig114344970||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0445524,Virus_029725,BAC_Host_117
Contig1148175||full,bin.008,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000168616,Virus_000190,BAC_Host_117
Contig115483131||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0212073,Virus_030188,BAC_Host_117
Contig115940747||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0215832,Virus_030355,BAC_Host_117
Contig117863798||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00789398,Virus_031035,BAC_Host_117
Contig118172733||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0372276,Virus_031139,BAC_Host_117
Contig121498120||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0228698,Virus_032483,BAC_Host_117
Contig121605287||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0118105,Virus_032531,BAC_Host_117
Contig121958511||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016787,Virus_032692,BAC_Host_117
Contig122131518||full,bin.008,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00723328,Virus_032761,BAC_Host_117
Contig122360859||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0399429,Virus_032850,BAC_Host_117
Contig123840233||full,bin.008,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0258584,Virus_033413,BAC_Host_117
Contig129287780||full,bin.008,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Yes,0,3,NaN,Virus_035601,BAC_Host_117
