contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
Contig139899753||full	0.953	dsDNAphage	494746	8	17.4	3.3	494746	No	NA	801	59	41	High-quality	High-quality	98.79	HMM-based (lower-bound)	0	1	NA
Contig133367609||full	0.98	dsDNAphage	437779	10	24.2	5.1	437779	No	NA	583	43	41	High-quality	High-quality	94.42	HMM-based (lower-bound)	0	1	NA
Contig49617119||full	0.967	dsDNAphage	393332	4	15.2	4	393332	No	NA	656	37	43	High-quality	High-quality	94.81	HMM-based (lower-bound)	0	1	NA
Contig26800275||full	0.967	dsDNAphage	379467	12	19	4	379467	No	NA	626	39	24	High-quality	High-quality	97.84	HMM-based (lower-bound)	0	1	NA
Contig99511885||full	1	dsDNAphage	346595	23	31.4	2.7	346595	No	NA	582	94	14	High-quality	High-quality	92.49	HMM-based (lower-bound)	0	1	NA
Contig39015512||full	0.993	dsDNAphage	308189	40	43.5	0.9	308189	No	NA	336	106	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
Contig142949947||full	0.967	dsDNAphage	294187	12	20.7	2.6	294187	No	NA	503	50	10	High-quality	High-quality	97.12	HMM-based (lower-bound)	0	1	NA
Contig123250987||full	1	dsDNAphage	260902	11	30.1	1.1	260902	No	NA	359	34	14	Complete	High-quality	100	DTR (medium-confidence)	0	1	NA
Contig59135421||full	0.993	dsDNAphage	224591	9	23	1.6	224591	No	NA	397	32	13	High-quality	High-quality	93.62	HMM-based (lower-bound)	0	1	NA
Contig73111104||full	1	dsDNAphage	216263	14	22.8	2.3	216263	No	NA	311	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA
Contig90455972||full	1	dsDNAphage	208063	10	24.6	3.6	208063	No	NA	277	19	11	High-quality	High-quality	96.58	AAI-based (medium-confidence)	0	1	NA
Contig15618873||full	1	dsDNAphage	204165	5	33	1.3	204165	No	NA	319	26	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
