Metagenome	bin	contig_id	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
C2	bin.066	NODE_10_length_530803_cov_27.844244||full	0.953	dsDNAphage	530553	12	21.3	2.7	530553	No	NA	763	41	32	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
B2	bin.138	NODE_2_length_494840_cov_20.338171||full	0.953	dsDNAphage	494785	8	17.4	3.3	494785	No	NA	803	59	41	High-quality	High-quality	98.79	HMM-based (lower-bound)	0	1	NA
C2	bin.023	NODE_13_length_437424_cov_10.394975||full	0.98	dsDNAphage	437422	9	24.2	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C2	bin.115	NODE_21_length_359293_cov_28.730616||full	1	dsDNAphage	359238	24	42.1	1.7	359238	No	NA	589	100	20	High-quality	High-quality	90.33	HMM-based (lower-bound)	0	1	NA
C2	bin.092	NODE_31_length_310192_cov_12.051322||full	0.973	dsDNAphage	310190	12	20.7	2.8	310190	No	NA	536	55	11	Complete	High-quality	100	DTR (high-confidence)	0	1.02	NA
C2	bin.090	NODE_32_length_308271_cov_68.115108||full	0.993	dsDNAphage	308216	40	43.8	0.9	308216	No	NA	337	107	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA
C2	bin.065	NODE_45_length_260841_cov_54.850299||full	1	dsDNAphage	260830	11	30.2	1.1	260830	No	NA	360	34	14	Medium-quality	Genome-fragment	87.72	HMM-based (lower-bound)	0	1	NA
B2	bin.123	NODE_19_length_255398_cov_34.915075||full	0.9	dsDNAphage	237823	8	31.5	2.7	237823	No	NA	297	18	16	Low-quality	Genome-fragment	49.49	AAI-based (medium-confidence)	0	1	NA
B2	bin.019	NODE_22_length_234673_cov_9.044660||full	1	dsDNAphage	234665	12	35.2	0.9	234665	No	NA	307	48	5	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1.01	NA
C2	bin.058	NODE_48_length_251805_cov_11.448282||full	0.553	dsDNAphage	230380	0	9.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2	bin.127	NODE_24_length_228201_cov_12.661348||full	0.987	dsDNAphage	228146	13	18.6	2.2	228146	No	NA	323	27	3	High-quality	High-quality	92.8	HMM-based (lower-bound)	0	1	NA
C2	bin.026	NODE_59_length_228046_cov_9.080170||full	0.987	dsDNAphage	227991	13	18.6	2.2	227991	No	NA	324	27	3	High-quality	High-quality	92.77	HMM-based (lower-bound)	0	1	NA
B2	bin.099	NODE_25_length_224646_cov_12.118972||full	0.993	dsDNAphage	224422	9	23.1	1.6	224422	No	NA	396	32	13	High-quality	High-quality	93.61	HMM-based (lower-bound)	0	1	NA
C2	bin.105	NODE_66_length_219660_cov_12.834271||full	0.953	dsDNAphage	218958	8	17.5	4.5	218958	No	NA	312	24	12	High-quality	High-quality	100	HMM-based (lower-bound)	0	2	high kmer_freq may indicate large duplication; low-confidence ITR
B2	bin.120	NODE_29_length_216869_cov_8.342114||full	0.96	dsDNAphage	216570	3	13.9	1.1	216570	No	NA	327	13	5	High-quality	High-quality	91.38	HMM-based (lower-bound)	0	1	NA
