seqname	dsDNAphage	NCLDV	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
Contig139899753||full	0.953	0.187	0.007	0.113	0.953	dsDNAphage	494746	8	17.4	3.3
Contig133367609||full	0.98	0.48	0	0.253	0.98	dsDNAphage	437779	10	24.2	5.1
Contig49617119||full	0.967	0.12	0.013	0.007	0.967	dsDNAphage	393332	4	15.2	4
Contig26800275||full	0.967	0.1	0	0.033	0.967	dsDNAphage	379467	12	19	4
Contig99511885||full	1	0.107	0	0.013	1	dsDNAphage	346595	23	31.4	2.7
Contig39015512||full	0.993	0.147	0.013	0.087	0.993	dsDNAphage	308189	40	43.5	0.9
Contig142949947||full	0.967	0.287	0	0.133	0.967	dsDNAphage	294187	12	20.7	2.6
Contig123250987||full	1	0.113	0.007	0.02	1	dsDNAphage	260902	11	30.1	1.1
Contig100641146||full	0.993	0.807	0	0.087	0.993	dsDNAphage	236318	17	50.3	2.4
Contig59135421||full	0.993	0.073	0.007	0.033	0.993	dsDNAphage	224591	9	23	1.6
Contig73111104||full	1	0.06	0.007	0.013	1	dsDNAphage	216263	14	22.8	2.3
Contig84139376||full	0.993	0.493	0.013	0.08	0.993	dsDNAphage	212697	12	36.4	1.1
Contig90455972||full	1	0.1	0.013	0.107	1	dsDNAphage	208063	10	24.6	3.6
Contig110515220||full	0.033	0.767	0	0	0.767	NCLDV	206289	0	13	5.8
Contig15618873||full	1	0.633	0.093	0.4	1	dsDNAphage	204165	5	33	1.3
Contig109876813||full	1	0.26	0.2	0.413	1	dsDNAphage	193949	8	34.8	0.6
Contig151877900||full	0.993	0.26	0.007	0.033	0.993	dsDNAphage	190496	25	50.8	2.4
Contig35108570||full	0.993	0.24	0	0	0.993	dsDNAphage	177188	3	18.1	1.7
Contig98839058||full	0.987	0.42	0	0.167	0.987	dsDNAphage	172811	8	30.5	4.3
Contig136669853||full	0.987	0.16	0.027	0.327	0.987	dsDNAphage	172215	10	29.9	1.2
Contig82077176||full	0.907	0.16	0	0.067	0.907	dsDNAphage	172086	7	21.7	5.3
Contig136620972||full	0.993	0.087	0.047	0.373	0.993	dsDNAphage	169624	10	29.5	0.8
Contig150047177||full	0.747	0.953	0	0.467	0.953	NCLDV	165086	3	23.9	1.7
Contig63567846||full	1	0.127	0.013	0	1	dsDNAphage	164979	9	26.7	1.8
Contig122963533||full	1	0.267	0.027	0.14	1	dsDNAphage	164668	15	31.5	0
Contig24240559||full	0.04	0.613	0	0.013	0.613	NCLDV	164311	0	6.5	4.6
Contig28819750||full	0.993	0.247	0.007	0.08	0.993	dsDNAphage	162497	2	20.2	2.8
Contig21546592||full	1	0.04	0.027	0.04	1	dsDNAphage	161432	4	24.8	3.1
Contig118345716||full	1	0.14	0.047	0.087	1	dsDNAphage	159916	2	37.4	1.6
Contig35416038||full	1	0.387	0.127	0.153	1	dsDNAphage	158536	27	51.3	1.1
Contig79742107||full	0.987	0.14	0.047	0.307	0.987	dsDNAphage	156320	8	20	0.8
Contig112467793||full	1	0.12	0.007	0.027	1	dsDNAphage	156241	10	30.1	0.9
Contig143601366||full	1	0.34	0	0.033	1	dsDNAphage	148775	11	29.9	1.6
Contig150992567||full	0.873	0.027	0	0	0.873	dsDNAphage	146533	11	26.4	33.8
Contig24278870||full	1	0.06	0.02	0.02	1	dsDNAphage	144747	15	33.5	3
Contig59085900||full	1	0.247	0.013	0.013	1	dsDNAphage	144159	10	24.2	1.6
Contig9973591||full	0.973	0.247	0	0.007	0.973	dsDNAphage	139966	5	23.9	5
Contig141340664||full	0.573	0.987	0	0.247	0.987	NCLDV	137784	1	18.9	2.4
Contig8640915||full	0.993	0.353	0.007	0.027	0.993	dsDNAphage	135420	8	34.7	3.5
Contig81974069||full	1	0.167	0.027	0.027	1	dsDNAphage	134729	2	18.8	0
Contig153932647||full	0.98	0.353	0	0	0.98	dsDNAphage	134490	4	16.6	4
Contig154649737||full	1	0.073	0.013	0.04	1	dsDNAphage	130903	5	30.7	1.7
Contig50624312||full	0.96	0.48	0	0.013	0.96	dsDNAphage	130196	2	22.8	4.2
Contig90872219||full	1	0.173	0.007	0.007	1	dsDNAphage	128397	2	17.1	3.2
Contig124893723||full	1	0.027	0.007	0	1	dsDNAphage	127980	1	25	2
Contig152093589||full	0.98	0.42	0.007	0.013	0.98	dsDNAphage	127964	5	23.9	2.7
Contig148059664||full	0.8	0.013	0	0	0.8	dsDNAphage	127452	7	29.5	34.1
Contig54626872||full	1	0.173	0	0.147	1	dsDNAphage	126911	1	35.2	3.4
Contig25738071||full	0.993	0.24	0.087	0.08	0.993	dsDNAphage	125319	3	15.2	0.4
Contig71648242||full	1	0.26	0.027	0.007	1	dsDNAphage	125163	4	18.4	1
Contig112642024||full	1	0.067	0.013	0.013	1	dsDNAphage	120937	11	28	3
Contig3478317||full	0.987	0.067	0.013	0.013	0.987	dsDNAphage	120772	1	25.8	1.3
Contig105806288||full	0.987	0.24	0.04	0.013	0.987	dsDNAphage	120593	4	21.1	0.5
Contig49617118||full	0.98	0.053	0	0.047	0.98	dsDNAphage	119513	6	26.2	5.4
Contig21073728||full	0.933	0.26	0	0	0.933	dsDNAphage	118523	7	21.3	4.9
Contig155489168||full	1	0.433	0.067	0.12	1	dsDNAphage	118119	17	50.5	2.2
Contig52159389||full	0.587	0.067	0	0.027	0.587	dsDNAphage	117300	2	14.3	14.3
Contig26800274||full	0.98	0.22	0.007	0.087	0.98	dsDNAphage	117181	5	28.9	4.6
Contig72725832||full	1	0.613	0.007	0.173	1	dsDNAphage	116069	1	18	1.1
Contig13181563||full	1	0.1	0	0.007	1	dsDNAphage	116021	3	21.7	0.6
Contig76805676||full	0.993	0.147	0.013	0.293	0.993	dsDNAphage	115951	5	29.2	1.9
Contig22318712||full	1	0.073	0	0.013	1	dsDNAphage	115645	3	20.8	2.7
Contig126378795||full	0.993	0.22	0	0.013	0.993	dsDNAphage	115273	3	29.8	3
Contig88132264||full	0.993	0.32	0	0.02	0.993	dsDNAphage	115219	11	23.8	3.5
Contig62323343||full	0.467	0.627	0	0.007	0.627	NCLDV	114923	0	9.5	7.1
Contig91243410||full	0.96	0.033	0	0.007	0.96	dsDNAphage	114408	5	16.7	6.1
Contig125854478||full	0.933	0.393	0	0	0.933	dsDNAphage	113992	4	16.1	4.8
Contig153672807||full	0.587	0.127	0	0.073	0.587	dsDNAphage	113956	2	22.5	20
Contig153305335||full	0.967	0.527	0.007	0.007	0.967	dsDNAphage	113919	2	16.8	5.2
Contig83599174||0_partial	0.9	0.013	0	0.007	0.9	dsDNAphage	113610	10	27.8	28.5
Contig66083496||full	0.993	0.153	0.04	0.133	0.993	dsDNAphage	113188	10	27.5	2.7
Contig60737445||full	0.987	0.38	0.007	0.1	0.987	dsDNAphage	110786	4	24.2	1.3
Contig64802180||full	1	0.713	0.06	0.467	1	dsDNAphage	110631	5	31.5	2.5
Contig34538069||full	0.953	0.073	0	0.007	0.953	dsDNAphage	110254	3	15.5	5.3
Contig73771185||full	1	0.267	0.02	0.033	1	dsDNAphage	110133	3	32.7	0.7
Contig156336242||full	0.547	0.9	0	0.02	0.9	NCLDV	109611	2	14.3	3.3
Contig71277468||full	0.993	0.073	0	0	0.993	dsDNAphage	109331	5	16.5	1
Contig14903753||full	0.993	0.253	0.007	0.02	0.993	dsDNAphage	109071	15	35.4	1.9
Contig156292556||full	0.127	0.633	0	0.1	0.633	NCLDV	108891	0	8.3	4.2
Contig129454637||full	0.967	0.287	0	0.313	0.967	dsDNAphage	108065	4	31.3	5.1
Contig27345586||full	0.967	0.193	0.013	0.007	0.967	dsDNAphage	107636	2	12.6	1.8
Contig52203018||full	0.993	0.06	0	0.007	0.993	dsDNAphage	106896	2	12.6	1.6
Contig7162542||full	1	0.24	0	0.007	1	dsDNAphage	106572	3	23.3	2.7
Contig153535758||full	0.54	0.033	0	0.113	0.54	dsDNAphage	106542	0	33.3	11.1
Contig35283177||full	1	0.153	0	0.02	1	dsDNAphage	106488	11	26.4	1
Contig96284855||full	0.98	0.073	0	0.013	0.98	dsDNAphage	105644	3	21.9	2.6
Contig124541541||full	1	0.06	0.007	0.007	1	dsDNAphage	105522	4	26.2	2.5
Contig109906379||full	0.053	0.693	0	0.02	0.693	NCLDV	105124	0	9.8	4.9
Contig116945720||full	1	0.247	0	0.02	1	dsDNAphage	104948	5	29.2	1.4
Contig25904621||full	0.827	0.247	0	0.02	0.827	dsDNAphage	104543	0	10.1	0.6
Contig2567248||full	0.987	0.18	0.04	0.007	0.987	dsDNAphage	104525	2	12.6	1.9
Contig51660653||full	1	0.1	0.02	0	1	dsDNAphage	104077	9	24.9	2.6
Contig75321901||full	1	0.067	0	0.02	1	dsDNAphage	104015	5	26.8	3.2
Contig46548736||full	0.94	0.013	0	0	0.94	dsDNAphage	102415	16	26.3	13.5
Contig12429633||full	0.973	0.207	0	0.087	0.973	dsDNAphage	102167	3	22.4	0.7
