gene	scaffold	gene_id	gene_description	category	header	subheader	module	auxiliary_score	amg_flags
Contig123250987||full_4	Contig123250987||full	NA	NA	NA	NA	NA	NA	2	MKF
Contig123250987||full_33	Contig123250987||full	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10] [RN:R01870]	MISC	Information systems	Nucleotide	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	2	MK
Contig123250987||full_40	Contig123250987||full	K01520	dUTP pyrophosphatase [EC:3.6.1.23] [RN:R02100]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	2	M
Contig123250987||full_102	Contig123250987||full	K01939	adenylosuccinate synthase [EC:6.3.4.4] [RN:R01135]	MISC	Information systems	Nucleotide	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	1	M
Contig123250987||full_236	Contig123250987||full	K00943	dTMP kinase [EC:2.7.4.9] [RN:R02094]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
Contig123250987||full_246	Contig123250987||full	NA	NA	NA	NA	NA	NA	1	MK
Contig123250987||full_250	Contig123250987||full	K01494	dCTP deaminase [EC:3.5.4.13] [RN:R02325]	MISC	Information systems	Nucleotide	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	1	M
Contig123250987||full_251	Contig123250987||full	NA	NA	NA	NA	NA	NA	1	MK
Contig123250987||full_338	Contig123250987||full	NA	NA	NA	NA	NA	NA	2	MK
Contig133367609||full_89	Contig133367609||full	K02970	small subunit ribosomal protein S21	MISC	Information systems	NA	Ribosome, bacteria	1	M
Contig133367609||full_103	Contig133367609||full	NA	NA	NA	NA	NA	NA	1	MK
Contig133367609||full_108	Contig133367609||full	NA	NA	NA	NA	NA	NA	1	MK
Contig133367609||full_144	Contig133367609||full	NA	NA	NA	NA	NA	NA	1	MK
Contig133367609||full_198	Contig133367609||full	S51	Catlytic type: Serine; hydrolyses Asp-Xaa dipeptides in which Xaa is not Glu, Asn or Gln; nutritional function in bacteria	Organic Nitrogen	Peptidase	NA	Exopeptidases that hydrolyse alpha-aspartyl bonds	1	M
