contig_id	full-partial	max_score	max_score_group	length	hallmark	viral	cellular	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings	bin	contigLen	totalAvgDepth	contig_%GC	Completeness	Contamination	classification	bin_length	bin_%GC	contig_count
Contig139899753	full	0.953	dsDNAphage	494746	8	17.4	3.3	494746	No	NA	801	59	41	High-quality	High-quality	98.79	HMM-based (lower-bound)	0	1	NA	bin.005	494834	36.9	42	0	0	Unclassified Bacteria	494834	42	1
Contig133367609	full	0.98	dsDNAphage	437779	10	24.2	5.1	437779	No	NA	583	43	41	High-quality	High-quality	94.42	HMM-based (lower-bound)	0	1	NA	bin.083	437781	20.8	39	0	0	Unclassified Bacteria	437781	39	1
Contig49617119	full	0.967	dsDNAphage	393332	4	15.2	4	393332	No	NA	656	37	43	High-quality	High-quality	94.81	HMM-based (lower-bound)	0	1	NA	bin.427	393334	12.7	45	0	0	Unclassified Bacteria	393334	45	1
Contig26800275	full	0.967	dsDNAphage	379467	12	19	4	379467	No	NA	626	39	24	High-quality	High-quality	97.84	HMM-based (lower-bound)	0	1	NA	bin.054	379468	13.2	30	0	0	Unclassified Bacteria	551857	29	3
Contig99511885	full	1	dsDNAphage	346595	23	31.4	2.7	346595	No	NA	582	94	14	High-quality	High-quality	92.49	HMM-based (lower-bound)	0	1	NA	bin.010	346597	12	46	0	0	Unclassified Bacteria	346597	46	1
Contig39015512	full	0.993	dsDNAphage	308189	40	43.5	0.9	308189	No	NA	336	106	4	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.022	308315	113.1	53	0.31	0	Unclassified	308315	53	1
Contig142949947	full	0.967	dsDNAphage	294187	12	20.7	2.6	294187	No	NA	503	50	10	High-quality	High-quality	97.12	HMM-based (lower-bound)	0	1	NA	bin.389	295489	28.9	45	0	0	Unclassified Bacteria	295489	45	1
Contig123250987	full	1	dsDNAphage	260902	11	30.1	1.1	260902	No	NA	359	34	14	Complete	High-quality	100	DTR (medium-confidence)	0	1	NA	bin.004	260912	102.9	51	0	0	Unclassified	260912	51	1
Contig100641146	full	0.993	dsDNAphage	236318	17	50.3	2.4	236318	Yes	233624	338	66	19	Medium-quality	Genome-fragment	59.17	AAI-based (medium-confidence)	1.14	1	NA	bin.009	236587	49.5	34	0	0	Unclassified Bacteria	359506	34	4
Contig59135421	full	0.993	dsDNAphage	224591	9	23	1.6	224591	No	NA	397	32	13	High-quality	High-quality	93.62	HMM-based (lower-bound)	0	1	NA	bin.449	224688	21.8	41	0	0	Unclassified Bacteria	224688	41	1
Contig73111104	full	1	dsDNAphage	216263	14	22.8	2.3	216263	No	NA	311	22	11	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.476	216413	391.3	49	0	0	Unclassified Bacteria	216413	49	1
Contig84139376	full	0.993	dsDNAphage	212697	12	36.4	1.1	212697	No	NA	280	44	4	Medium-quality	Genome-fragment	88.28	AAI-based (medium-confidence)	0	1	NA	bin.494	212700	17.9	30	0	0	Unclassified Bacteria	244672	30	2
Contig90455972	full	1	dsDNAphage	208063	10	24.6	3.6	208063	No	NA	277	19	11	High-quality	High-quality	96.58	AAI-based (medium-confidence)	0	1	NA	bin.060	208160	20.6	58	0	0	Unclassified Bacteria	246154	57	5
Contig15618873	full	1	dsDNAphage	204165	5	33	1.3	204165	No	NA	319	26	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.413	204262	35	31	0	0	Unclassified	204262	31	1
Contig109876813	full	1	dsDNAphage	193949	8	34.8	0.6	193949	No	NA	310	33	10	Medium-quality	Genome-fragment	84.13	HMM-based (lower-bound)	0	1	NA	bin.006	194087	14.7	39	0	0	Unclassified Bacteria	324030	39	3
Contig35108570	full	0.993	dsDNAphage	177188	3	18.1	1.7	177188	No	NA	237	17	4	High-quality	High-quality	94.95	AAI-based (medium-confidence)	0	1	NA	bin.031	177188	12.2	61	0.63	0	Unclassified	202251	61	3
Contig82077176	full	0.907	dsDNAphage	172086	7	21.7	5.3	172086	No	NA	244	19	21	Medium-quality	Genome-fragment	77.64	HMM-based (lower-bound)	0	1	NA	bin.406	172101	13.3	41	0	0	Unclassified Bacteria	582437	41	11
Contig63567846	full	1	dsDNAphage	164979	9	26.7	1.8	164979	No	NA	225	28	3	Medium-quality	Genome-fragment	88.71	HMM-based (lower-bound)	0	1	NA	bin.067	308541	194	54	0	0	Unclassified Bacteria	308541	54	1
Contig118345716	full	1	dsDNAphage	159916	2	37.4	1.6	159916	No	NA	310	30	14	Medium-quality	Genome-fragment	55.86	HMM-based (lower-bound)	0	1	NA	bin.080	160253	25.5	36	0	0	Unclassified Bacteria	202982	36	3
Contig81974069	full	1	dsDNAphage	134729	2	18.8	0	134729	No	NA	223	9	4	High-quality	High-quality	90.08	HMM-based (lower-bound)	0	1	NA	bin.129	256399	1157.2	50	0	0	Unclassified	256399	50	1
Contig153932647	full	0.98	dsDNAphage	134490	4	16.6	4	134490	No	NA	224	19	4	Medium-quality	Genome-fragment	89.86	HMM-based (lower-bound)	0	1	NA	bin.036	134587	20.2	60	0	0	Unclassified	246007	59	4
Contig3478317	full	0.987	dsDNAphage	120772	1	25.8	1.3	120772	No	NA	155	9	5	Medium-quality	Genome-fragment	58.4	HMM-based (lower-bound)	0	1	NA	bin.113	120819	14.2	51	0.47	0	Unclassified	221106	51	2
Contig26800274	full	0.98	dsDNAphage	117181	5	28.9	4.6	117181	No	NA	173	20	9	Medium-quality	Genome-fragment	52.47	HMM-based (lower-bound)	0	1	NA	bin.054	117560	12.6	29	0	0	Unclassified Bacteria	551857	29	3
Contig72725832	full	1	dsDNAphage	116069	1	18	1.1	116069	No	NA	183	10	1	Medium-quality	Genome-fragment	61.58	HMM-based (lower-bound)	0	1	NA	bin.506	116115	39.3	58	0	0	Unclassified	228879	58	3
Contig52811492	full	0.947	dsDNAphage	100958	1	14.5	6.1	100958	No	NA	155	6	17	Medium-quality	Genome-fragment	56.81	HMM-based (lower-bound)	0	1	NA	bin.261	108093	10.7	39	0	0	Unclassified Bacteria	578648	39	15
Contig3478318	full	1	dsDNAphage	100287	2	28.6	0.8	100287	No	NA	126	9	4	Low-quality	Genome-fragment	47.34	AAI-based (medium-confidence)	0	1	NA	bin.113	100287	14.5	52	0.47	0	Unclassified	221106	51	2
Contig62897875	full	0.927	dsDNAphage	98841	8	39.5	5.6	98841	No	NA	124	25	7	Low-quality	Genome-fragment	24.13	AAI-based (medium-confidence)	0	1	NA	bin.459	99311	8.8	51	0	0	Unclassified Bacteria	492241	51	22
Contig141813424	full	0.733	dsDNAphage	96762	0	26.1	2.2	96762	No	NA	170	8	17	Low-quality	Genome-fragment	38.44	HMM-based (lower-bound)	0	1	NA	bin.440	96764	9.4	40	0	0	Unclassified Bacteria	264270	39	12
Contig90179451	full	0.993	dsDNAphage	95481	2	20.9	2.3	95481	Yes	92975	129	12	4	High-quality	High-quality	90.37	HMM-based (lower-bound)	2.62	1	NA	bin.420	95624	41.9	57	8.62	0	Unclassified Bacteria	530556	58	68
Contig39575756	full	0.973	dsDNAphage	94780	0	11.1	1.9	94780	No	NA	216	4	5	Medium-quality	Genome-fragment	59	HMM-based (lower-bound)	0	1	NA	bin.261	94784	10.8	40	0	0	Unclassified Bacteria	578648	39	15
Contig137760289	full	1	dsDNAphage	92048	3	28.7	1.7	92048	No	NA	115	15	3	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.056	92049	36.5	59	0	0	Unclassified	480316	58	28
Contig138363403	full	0.993	dsDNAphage	90902	3	26.3	2.5	90902	No	NA	156	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.331	90903	14.2	33	0	0	Unclassified Bacteria	333568	33	16
Contig41839793	full	0.993	dsDNAphage	90478	7	34	1.3	90478	No	NA	156	24	0	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	contig >1.5x longer than expected genome length	bin.330	90480	35	55	8.05	5.17	Unclassified Bacteria	1489423	56	118
Contig115671543	full	1	dsDNAphage	90331	3	25.9	3.1	90331	No	NA	159	22	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.331	90428	28.3	34	0	0	Unclassified Bacteria	333568	33	16
Contig72725834	full	0.953	dsDNAphage	88129	9	18.4	3.5	88129	No	NA	114	15	2	Low-quality	Genome-fragment	38.72	HMM-based (lower-bound)	0	1	NA	bin.506	88133	37	59	0	0	Unclassified	228879	58	3
Contig109876814	full	1	dsDNAphage	87613	4	46.1	0	87613	No	NA	102	18	3	Low-quality	Genome-fragment	47.72	AAI-based (medium-confidence)	0	1	NA	bin.006	87693	12.6	38	0	0	Unclassified Bacteria	324030	39	3
Contig65405927	full	0.993	dsDNAphage	87298	5	26.3	2.5	87298	No	NA	118	14	2	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.212	87298	11.1	59	13.1	0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__CAIVDV01;s__	1299220	58	162
Contig138041035	full	0.96	dsDNAphage	85168	2	24.6	7.1	85168	No	NA	126	11	3	Low-quality	Genome-fragment	23.06	AAI-based (high-confidence)	0	1	NA	bin.383	85233	12.1	61	0	0	Unclassified Bacteria	261037	60	10
Contig118935906	full	1	dsDNAphage	82040	3	59.1	1.5	82040	Yes	80004	132	27	4	Low-quality	Genome-fragment	20.62	AAI-based (medium-confidence)	2.48	1	NA	bin.166	82042	11.9	37	0	0	Unclassified Bacteria	334513	37	11
Contig62008141	full	0.72	dsDNAphage	80985	0	14.3	0	80985	No	NA	161	5	1	Low-quality	Genome-fragment	43.86	HMM-based (lower-bound)	0	1	NA	bin.457	86600	46	50	0	0	Unclassified	247292	49	5
Contig54252602	full	0.993	dsDNAphage	77991	5	23.3	4.3	77991	No	NA	116	15	5	Medium-quality	Genome-fragment	54	HMM-based (lower-bound)	0	1	NA	bin.403	77991	14.2	64	8.33	0	Unclassified Bacteria	2819228	64	299
Contig62008142	full	0.893	dsDNAphage	76580	3	16.7	2.8	76580	No	NA	108	6	3	Medium-quality	Genome-fragment	55.58	AAI-based (medium-confidence)	0	1	NA	bin.457	76582	45.5	49	0	0	Unclassified	247292	49	5
Contig85853890	full	1	dsDNAphage	74178	5	26.8	0.9	74178	No	NA	113	17	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.316	74275	20.7	64	18.1	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	2344090	65	287
Contig59592305	full	0.993	dsDNAphage	71747	4	33.9	0.9	71747	No	NA	110	20	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.139	71844	34.9	56	38.79	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	2248993	63	263
Contig100641147	full	1	dsDNAphage	71153	7	45.1	1.8	71153	No	NA	113	25	0	Low-quality	Genome-fragment	18.47	AAI-based (medium-confidence)	0	1	NA	bin.009	71157	49.5	35	0	0	Unclassified Bacteria	359506	34	4
Contig140328721	full	1	dsDNAphage	69259	1	23.8	5	69259	No	NA	101	6	2	Medium-quality	Genome-fragment	78.39	HMM-based (lower-bound)	0	1	NA	bin.036	69261	25.4	59	0	0	Unclassified	246007	59	4
Contig87324617	full	0.98	dsDNAphage	68872	2	31.9	2.6	68872	No	NA	116	21	3	Low-quality	Genome-fragment	17.16	AAI-based (high-confidence)	0	1	NA	bin.459	68875	9.2	50	0	0	Unclassified Bacteria	492241	51	22
Contig47844613	full	1	dsDNAphage	67772	8	33.6	2.6	67772	No	NA	116	25	2	Medium-quality	Genome-fragment	74.65	HMM-based (lower-bound)	0	1	NA	bin.455	67823	12.4	59	25.86	0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micropepsales;f__Micropepsaceae;g__Rhizomicrobium;s__	1240581	61	153
Contig25304145	full	1	dsDNAphage	67147	5	38.2	1.1	67147	No	NA	89	19	1	High-quality	High-quality	100	AAI-based (medium-confidence)	0	1	NA	bin.263	67149	15.7	64	16.67	4.17	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	6268494	62	618
Contig16633890	full	0.987	dsDNAphage	66412	4	31.9	2.5	66412	No	NA	119	20	1	Medium-quality	Genome-fragment	84.88	HMM-based (lower-bound)	0	1	NA	bin.051	66412	9.9	61	12.07	0	Unclassified Bacteria	2455890	61	298
Contig101590508	full	0.967	dsDNAphage	64472	6	39.1	7.2	64472	Yes	57641	69	12	5	Low-quality	Genome-fragment	15.61	AAI-based (high-confidence)	10.6	1	NA	bin.383	64473	12.9	59	0	0	Unclassified Bacteria	261037	60	10
Contig105356834	full	0.993	dsDNAphage	62528	5	31.8	3.7	62528	No	NA	108	15	2	High-quality	High-quality	100	AAI-based (high-confidence)	0	1	NA	bin.174	62625	13.5	55	0	0	Unclassified Bacteria	2174841	57	203
Contig47126208	full	0.967	dsDNAphage	62378	9	50.7	8.5	62378	Yes	38272	71	29	11	Complete	High-quality	100	Provirus (medium-confidence)	38.65	1	NA	bin.366	62788	11.3	35	4.17	0	Unclassified Bacteria	643752	35	40
